channel_id,title,username,tag,flag_count,flag_clean_brands,flag_listy,flag_formatted,flag_random_username,flag_emoji_fence,flag_template_title,flag_low_eng,flag_no_slang,flag_uniform,random_username_score,template_title_score,title_emoji_count,n_total,n_sample,posts_per_day,len_mean,len_median,pre2022_ratio,brand_gap,clean_brand_ratio,translit_typo_ratio,ai_topic,ad_ratio,fwd_ratio,emoji_density_mean,fmt_density_mean,list_ratio_mean,ttr_mean,burstiness_mean,slang_ratio,eng_views_med,eng_react_rate,eng_reply_rate,low_eng_flag
1126965070,ЗаДень - Boryaba AI News,boryabanews,,3,1,1,1,0,0,0,0,1,0,0.0,0.0,0,449,120,1.444,1065.2333,888.5,1.0,0.8083,0.8083,0.0,1,0.0,0.0,0.0306,0.0156,0.6647,0.7313,1.0605,0.0083,865.0,0.0,0.0,0
1207434315,do...while...ai,doowhile,,2,1,1,0,0,0,0,0,0,0,0.0,0.0,0,207,120,0.131,2226.3917,2405.5,0.1333,0.6207,0.6466,0.0259,1,0.025,0.0083,0.0244,0.0016,0.1057,0.7116,0.7146,0.2759,602.5,0.0117,0.0049,0
1219878246,Python Portal,PythonPortal,,2,1,1,0,0,0,0,0,1,0,0.15,0.0,0,180,120,2.951,751.3333,514.0,0.0,0.9817,0.9908,0.0092,1,0.075,0.0,0.2852,0.0041,0.1484,0.8138,0.6726,0.0183,5745.5,0.0037,0.0002,0
1423584530,"КОРЕКС | Авто из Кореи, Китая и Японии",korex_official,,2,1,1,0,0,0,0,0,1,0,0.0,0.0,0,3429,88,2.437,709.9886,655.0,0.0341,0.525,0.525,0.0,1,0.4205,0.0,0.7879,0.0103,0.1478,0.8695,0.8194,0.0,4452.0,0.004,0.0,0
1475971164,radio-t,radio_t_podcast,,2,1,0,1,0,0,0,0,1,0,0.0,0.0,0,206,114,0.088,417.4825,420.5,0.0965,0.875,0.875,0.0,1,0.0,0.0,0.0,0.0315,0.0257,0.8231,0.4565,0.0,5936.5,0.0044,0.0005,0
1732713411,Новости Кошелька,cryptowallet_news_cis,,2,0,1,0,1,0,0,0,1,0,0.6,0.0,0,615,120,1.116,1489.3,1375.0,0.7833,0.2479,0.2479,0.0,1,0.025,0.0083,0.0499,0.0021,0.1487,0.7606,0.4725,0.0085,32222.0,0.0008,0.0,0
1879711135,Сергей Предводителев,sergei_predvoditelev,,2,1,1,0,0,0,0,0,0,0,0.0,0.0,0,245,120,0.37,1293.5833,1297.0,0.0,0.4583,0.4583,0.0,1,0.0333,0.0,0.1938,0.0037,0.1517,0.7153,0.7297,0.0333,1623.0,0.0153,0.009,0
1968557132,NΞXUS,newsnexusai,,2,1,1,0,0,0,0,1,1,0,0.0,0.0,0,187,120,26.714,1109.0083,1024.5,0.0,0.7917,0.7917,0.0,1,0.0833,0.0,0.9776,0.003,0.1703,0.8129,0.5194,0.0167,4.0,0.0,0.0,1
2090605973,PRO AI,akmal_pro_ai,,2,1,1,0,0,0,0,0,0,0,0.0,0.0,0,76,69,0.186,1480.4058,1408.0,0.0,0.7612,0.7612,0.0,1,0.0435,0.0435,0.0509,0.005,0.1302,0.7733,0.6887,0.0299,173.0,0.0311,0.0,0
2110095907,"Vibe Coding: OpenCode, Claude Code, Codex, Cursor, Kilo",prog_ai,,2,1,1,0,0,0,0,1,0,0,0.0,0.0,0,213,120,5.605,808.4167,568.5,0.0,0.6204,0.6574,0.037,1,0.0,0.0417,0.0284,0.0073,0.1487,0.7967,0.6442,0.0463,633.5,0.0018,0.0027,1
2160343566,🌏 Проще говоря. Паттайя,proshepataya,,2,1,1,0,0,0,0,1,1,0,0.0,0.2,1,221,120,6.139,963.1667,920.5,0.0,0.7103,0.7103,0.0,1,0.3417,0.0167,0.7308,0.005,0.1095,0.7999,0.7298,0.0093,2966.5,0.0002,0.0,1
2184417466,Лента AI новостей by KIRRO Digital,lenta_AI,,2,1,1,0,0,0,0,1,1,0,0.0,0.0,0,1808,120,17.057,2065.9583,1966.5,0.0,0.4444,0.641,0.1966,1,0.0,0.0,0.0,0.0014,0.1455,0.7269,0.6862,0.0085,6.0,0.0,0.0,1
2273349814,Refat Talks: Tech & AI,nobilix,,2,1,1,0,0,0,0,0,0,0,0.0,0.0,0,222,120,1.721,2236.5833,1977.0,0.0,0.6218,0.7059,0.084,1,0.0,0.0,0.046,0.0059,0.3939,0.7361,0.6649,0.2353,1401.5,0.0277,0.0057,0
2348625982,🟢 LongoShort - Analytics🔴,LongoShortCrypto,,2,1,0,0,1,0,0,1,0,0,0.6,0.2,2,4705,120,9.864,546.2417,331.0,0.0,0.7273,0.7273,0.0,1,0.4333,0.0,1.3459,0.0126,0.0019,0.8264,0.5741,0.0227,195.0,0.0,0.0,1
2448797955,Директор Крипты,crypt_forex,,2,1,0,0,1,0,0,1,1,0,0.6,0.0,0,761,120,40.053,540.5,357.5,0.0,0.4182,0.4182,0.0,1,0.1417,0.0,0.6709,0.0109,0.0,0.8703,0.5895,0.0,1.0,0.0,0.0,1
2595165285,Заместители,aideputies,,2,1,1,0,0,0,0,0,0,0,0.0,0.0,0,187,120,0.817,2732.4083,2760.5,0.0,0.6471,0.6807,0.0336,1,0.1833,0.0,0.1714,0.0044,0.2297,0.7124,0.7313,0.1429,750.5,0.0167,0.0,0
2702473127,DEKSDEN notes,deksden_notes,,2,1,1,0,0,0,0,0,0,0,0.0,0.0,0,583,120,5.83,1522.8167,1165.5,0.0,0.437,0.4538,0.0168,1,0.075,0.0083,0.1826,0.0058,0.1007,0.7799,0.7637,0.1176,401.0,0.0215,0.0135,0
2744745248,AI STRING | Новости,AiString,,2,1,1,0,0,0,0,1,1,0,0.0,0.0,0,1488,120,24.0,764.625,616.5,0.0,0.5546,0.563,0.0084,1,0.0917,0.0,0.372,0.0048,0.1206,0.8374,0.4632,0.0168,24.0,0.0,0.0,1
2759587905,"Женя, расскажи про AI",that_ai_guy,,2,1,1,0,0,0,0,0,0,0,0.0,0.0,0,60,60,0.364,2034.0167,2001.5,0.0,0.6271,0.6271,0.0,1,0.0,0.0167,0.0636,0.0063,0.1033,0.7144,0.6715,0.1186,236.0,0.0324,0.0015,0
2933149495,Высоконагруженный кабанчик,data_intensive_boar,,2,1,1,0,0,0,0,0,0,0,0.0,0.0,0,83,77,0.401,1338.7013,979.0,0.0,0.4068,0.4068,0.0,1,0.0,0.0519,0.0208,0.0049,0.1488,0.7786,0.6288,0.0339,335.0,0.008,0.0021,0
3013763702,🤖 Пост ИИ — Искусственный интеллект,aipost_ru,,2,1,1,0,0,0,0,0,0,0,0.0,0.2,1,134,120,8.933,586.3667,470.0,0.0,0.5766,0.5766,0.0,1,0.0,0.0,0.2415,0.0044,0.1446,0.8551,0.4596,0.036,7.0,0.4286,0.0,0
3127623346,ИИ в деле | Daniil Moskalenko,AI_unstoppable,,2,1,1,0,0,0,0,0,0,0,0.0,0.0,0,59,57,0.518,1017.3158,917.0,0.0,0.5094,0.5283,0.0189,1,0.1404,0.1404,0.2892,0.0083,0.1263,0.8198,0.6519,0.0377,416.0,0.0311,0.0,0
3546499993,OpenClaw канал про ИИ-агентов,openclawc,,2,1,1,0,0,0,0,0,0,0,0.0,0.0,0,304,120,13.818,1432.2,1309.5,0.0,0.8772,0.8947,0.0175,1,0.2417,0.05,0.218,0.0064,0.1537,0.7291,0.6171,0.0702,101.5,0.0122,0.0,0
3687920115,ai проделки Насти Бир,aibirn,,2,1,1,0,0,0,0,0,0,0,0.0,0.0,0,95,92,0.617,499.0217,452.0,0.0,0.5854,0.5854,0.0,1,0.0217,0.0,0.3372,0.0015,0.121,0.8698,0.5094,0.1341,438.0,0.0436,0.0092,0
3765295864,OpenClaw Community,openclawchats,,2,1,1,0,0,0,0,0,0,0,0.0,0.0,0,528,120,40.615,1033.7917,1093.5,0.0,0.7841,0.8182,0.0341,1,0.1833,0.6667,0.2527,0.0054,0.1471,0.745,0.5636,0.0795,85.0,0.0146,0.0,0
3784088822,AI От веб-кодинга к вайб-кодингу 🔥,ai_hub_money,,2,1,1,0,0,0,0,1,0,0,0.0,0.0,1,327,120,7.267,1031.8167,962.0,0.0,0.75,0.8103,0.0603,1,0.1583,0.0083,0.5086,0.0067,0.151,0.7893,0.6019,0.069,73.5,0.0,0.0,1
1040370540,Mobile Development by AppTractor,apptractor,,1,0,1,0,0,0,0,0,1,0,0.0,0.0,0,4150,120,1.626,722.7,645.0,0.9333,0.359,0.359,0.0,1,0.025,0.075,0.0991,0.0038,0.1077,0.8216,0.5434,0.0,3211.5,0.0,0.0,0
